image,steer_rad,steer_norm
images/img_000000.png,0.000000,0.000000
images/img_000001.png,0.000000,0.000000
images/img_000002.png,0.000000,0.000000
images/img_000003.png,0.000000,0.000000
images/img_000004.png,0.000000,0.000000
images/img_000005.png,0.000000,0.000000
images/img_000006.png,0.000000,0.000000
images/img_000007.png,0.000000,0.000000
images/img_000008.png,0.000000,0.000000
images/img_000009.png,0.000000,0.000000
images/img_000010.png,0.000000,0.000000
images/img_000011.png,0.000000,0.000000
images/img_000012.png,0.000000,0.000000
images/img_000013.png,0.000000,0.000000
images/img_000014.png,0.000000,0.000000
images/img_000015.png,0.000000,0.000000
images/img_000016.png,0.000000,0.000000
images/img_000017.png,0.000000,0.000000
images/img_000018.png,0.000000,0.000000
images/img_000019.png,0.000000,0.000000
images/img_000020.png,0.000000,0.000000
images/img_000021.png,0.000000,0.000000
images/img_000022.png,0.000000,0.000000
images/img_000023.png,0.000000,0.000000
images/img_000024.png,0.000000,0.000000
images/img_000025.png,0.000000,0.000000
images/img_000026.png,0.000000,0.000000
images/img_000027.png,0.000000,0.000000
images/img_000028.png,0.000000,0.000000
images/img_000029.png,0.000000,0.000000
images/img_000030.png,0.000000,0.000000
images/img_000031.png,0.000000,0.000000
images/img_000032.png,0.000000,0.000000
images/img_000033.png,0.000000,0.000000
images/img_000034.png,0.000000,0.000000
images/img_000035.png,0.000000,0.000000
images/img_000036.png,0.000000,0.000000
images/img_000037.png,0.000000,0.000000
images/img_000038.png,0.000000,0.000000
images/img_000039.png,0.000000,0.000000
images/img_000040.png,0.000000,0.000000
images/img_000041.png,0.000000,0.000000
images/img_000042.png,0.000000,0.000000
images/img_000043.png,0.000000,0.000000
images/img_000044.png,0.000000,0.000000
images/img_000045.png,0.000000,0.000000
images/img_000046.png,0.000000,0.000000
images/img_000047.png,0.000000,0.000000
images/img_000048.png,0.000000,0.000000
images/img_000049.png,0.000000,0.000000
images/img_000050.png,0.000000,0.000000
images/img_000051.png,0.000000,0.000000
images/img_000052.png,0.000000,0.000000
images/img_000053.png,0.000000,0.000000
images/img_000054.png,0.000000,0.000000
images/img_000055.png,0.000000,0.000000
images/img_000056.png,0.000000,0.000000
images/img_000057.png,0.000000,0.000000
images/img_000058.png,0.000000,0.000000
images/img_000059.png,0.000000,0.000000
images/img_000060.png,0.000000,0.000000
images/img_000061.png,0.000000,0.000000
images/img_000062.png,0.000000,0.000000
images/img_000063.png,0.000000,0.000000
images/img_000064.png,0.000000,0.000000
images/img_000065.png,0.000000,0.000000
images/img_000066.png,0.000000,0.000000
images/img_000067.png,0.000000,0.000000
images/img_000068.png,0.000000,0.000000
images/img_000069.png,0.000000,0.000000
images/img_000070.png,0.000000,0.000000
images/img_000071.png,0.000000,0.000000
images/img_000072.png,0.000000,0.000000
images/img_000073.png,0.000000,0.000000
images/img_000074.png,0.000000,0.000000
images/img_000075.png,0.000000,0.000000
images/img_000076.png,0.000000,0.000000
images/img_000077.png,0.000000,0.000000
images/img_000078.png,0.000000,0.000000
images/img_000079.png,0.000000,0.000000
images/img_000080.png,0.000000,0.000000
images/img_000081.png,0.000000,0.000000
images/img_000082.png,0.000000,0.000000
images/img_000083.png,0.000000,0.000000
images/img_000084.png,0.000000,0.000000
images/img_000085.png,0.000000,0.000000
images/img_000086.png,0.000000,0.000000
images/img_000087.png,0.000000,0.000000
images/img_000088.png,0.000000,0.000000
images/img_000089.png,0.000000,0.000000
images/img_000090.png,0.000000,0.000000
images/img_000091.png,0.000000,0.000000
images/img_000092.png,0.000000,0.000000
images/img_000093.png,0.000000,0.000000
images/img_000094.png,0.000000,0.000000
images/img_000095.png,0.000000,0.000000
images/img_000096.png,0.000000,0.000000
images/img_000097.png,0.000000,0.000000
images/img_000098.png,0.000000,0.000000
images/img_000099.png,0.000000,0.000000
images/img_000100.png,0.000000,0.000000
images/img_000101.png,0.000000,0.000000
images/img_000102.png,0.000000,0.000000
images/img_000103.png,0.000000,0.000000
images/img_000104.png,0.000000,0.000000
images/img_000105.png,0.000000,0.000000
images/img_000106.png,0.000000,0.000000
images/img_000107.png,0.000000,0.000000
images/img_000108.png,0.000000,0.000000
images/img_000109.png,0.000000,0.000000
images/img_000110.png,0.000000,0.000000
images/img_000111.png,0.000000,0.000000
images/img_000112.png,0.000000,0.000000
images/img_000113.png,0.000000,0.000000
images/img_000114.png,0.000000,0.000000
images/img_000115.png,0.000000,0.000000
images/img_000116.png,0.000000,0.000000
images/img_000117.png,0.000000,0.000000
images/img_000118.png,0.000000,0.000000
images/img_000119.png,-0.160000,-0.266667
images/img_000120.png,-0.360000,-0.600000
images/img_000121.png,-0.560000,-0.933333
images/img_000122.png,-0.600000,-1.000000
images/img_000123.png,-0.354294,-0.590490
images/img_000124.png,-0.123535,-0.205891
images/img_000125.png,-0.043074,-0.071790
images/img_000126.png,-0.015019,-0.025032
images/img_000127.png,-0.005237,-0.008728
images/img_000128.png,-0.001826,-0.003043
images/img_000129.png,0.178357,0.297261
images/img_000130.png,0.322521,0.537535
images/img_000131.png,0.112456,0.187427
images/img_000132.png,0.039211,0.065352
images/img_000133.png,0.013672,0.022787
images/img_000134.png,0.004767,0.007945
images/img_000135.png,0.001662,0.002770
images/img_000136.png,0.000580,0.000966
images/img_000137.png,0.000202,0.000337
images/img_000138.png,0.000070,0.000117
images/img_000139.png,0.000025,0.000041
images/img_000140.png,0.000009,0.000014
images/img_000141.png,0.000003,0.000005
images/img_000142.png,0.000001,0.000002
images/img_000143.png,0.000000,0.000001
images/img_000144.png,0.000000,0.000000
images/img_000145.png,0.000000,0.000000
images/img_000146.png,0.000000,0.000000
images/img_000147.png,0.000000,0.000000
images/img_000148.png,0.000000,0.000000
images/img_000149.png,-0.080000,-0.133333
images/img_000150.png,-0.280000,-0.466667
images/img_000151.png,-0.414000,-0.690000
images/img_000152.png,-0.144353,-0.240588
images/img_000153.png,-0.050333,-0.083888
images/img_000154.png,-0.017550,-0.029250
images/img_000155.png,-0.006119,-0.010199
images/img_000156.png,-0.002134,-0.003556
images/img_000157.png,-0.000744,-0.001240
images/img_000158.png,0.079605,0.132674
